"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","Stock.Exchange"
"ARCI","Appliance Recycling Centers of America, Inc.","0.84","$4.96M","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci","NASDAQ"
"APDN","Applied DNA Sciences Inc","3.06","$73.64M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdn","NASDAQ"
"APDNW","Applied DNA Sciences Inc","1.32","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdnw","NASDAQ"
"AGTC","Applied Genetic Technologies Corporation","15.83","$285M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agtc","NASDAQ"
"AMAT","Applied Materials, Inc.","17.05","$19.59B","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat","NASDAQ"
"AMCC","Applied Micro Circuits Corporation","5.81","$481.28M","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/amcc","NASDAQ"
"AAOI","Applied Optoelectronics, Inc.","13.89","$233.84M","2013","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi","NASDAQ"
"AREX","Approach Resources Inc.","1.1","$44.52M","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex","NASDAQ"
"APRI","Apricus Biosciences, Inc","1.15","$57.98M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apri","NASDAQ"
"APTO","Aptose Biosciences, Inc.","2.49","$30M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/apto","NASDAQ"
"AQMS","Aqua Metals, Inc.","4.55","$64.23M","2015","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/aqms","NASDAQ"
"AQXP","Aquinox Pharmaceuticals, Inc.","11.07","$190.54M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aqxp","NASDAQ"
"AUMA","AR Capital Acquisition Corp.","9.75","$292.5M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/auma","NASDAQ"
"AUMAU","AR Capital Acquisition Corp.","9.78","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/aumau","NASDAQ"
"AUMAW","AR Capital Acquisition Corp.","0.1","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/aumaw","NASDAQ"
"ARDM","Aradigm Corporation","3.64","$53.73M","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ardm","NASDAQ"
"PETX","Aratana Therapeutics, Inc.","3.14","$109.92M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/petx","NASDAQ"
"ABUS","Arbutus Biopharma Corporation","3.59","$195.91M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abus","NASDAQ"
"ARCW","ARC Group Worldwide, Inc.","1.42","$27.02M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/arcw","NASDAQ"
"ABIO","ARCA biopharma, Inc.","3.84","$34.76M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/abio","NASDAQ"
"RKDA","Arcadia Biosciences, Inc.","2.51","$110.65M","2015","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/rkda","NASDAQ"
