"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","Stock.Exchange"
"GYRO","Gyrodyne , LLC","26.174","$38.81M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gyro","NASDAQ"
"HEES","H&E Equipment Services, Inc.","14.88","$527.22M","2006","n/a","n/a","http://www.nasdaq.com/symbol/hees","NASDAQ"
"HLG","Hailiang Education Group Inc.","10","$242.42M","2015","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hlg","NASDAQ"
"HNRG","Hallador Energy Company","4.56","$132.51M","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/hnrg","NASDAQ"
"HALL","Hallmark Financial Services, Inc.","11.1","$212.5M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hall","NASDAQ"
"HALO","Halozyme Therapeutics, Inc.","10.38","$1.33B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/halo","NASDAQ"
"HBK","Hamilton Bancorp, Inc.","14.01","$47.89M","2012","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hbk","NASDAQ"
"HMPR","Hampton Roads Bankshares Inc","1.67","$285.49M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hmpr","NASDAQ"
"HBHC","Hancock Holding Company","22.29","$1.73B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbhc","NASDAQ"
"HBHCL","Hancock Holding Company","24.45","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbhcl","NASDAQ"
"HNH","Handy & Harman Ltd.","16.43","$200.59M","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/hnh","NASDAQ"
"HAFC","Hanmi Financial Corporation","20.57","$657.74M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hafc","NASDAQ"
"HNSN","Hansen Medical, Inc.","1.56","$29.44M","2006","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hnsn","NASDAQ"
"HQCL","Hanwha Q CELLS Co., Ltd. ","17.46","$1.47B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/hqcl","NASDAQ"
"HDNG","Hardinge, Inc.","8.99","$115.42M","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hdng","NASDAQ"
"HLIT","Harmonic Inc.","3.3","$287.34M","1995","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/hlit","NASDAQ"
"HRMN","Harmony Merger Corp.","9.87","$148.89M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hrmn","NASDAQ"
"HRMNU","Harmony Merger Corp.","9.86","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hrmnu","NASDAQ"
"HRMNW","Harmony Merger Corp.","0.29","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hrmnw","NASDAQ"
"TINY","Harris & Harris Group, Inc.","1.66","$51.3M","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/tiny","NASDAQ"
"HART          ","Harvard Apparatus Regenerative Technology, Inc.","2.044","$27.5M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hart          ","NASDAQ"
"HBIO","Harvard Bioscience, Inc.","2.9","$98.44M","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/hbio","NASDAQ"
"HCAP","Harvest Capital Credit Corporation","11.03","$69.08M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcap","NASDAQ"
"HCAPL","Harvest Capital Credit Corporation","24.7899","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcapl","NASDAQ"
"HAS","Hasbro, Inc.","72.91","$9.09B","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/has","NASDAQ"
"HA","Hawaiian Holdings, Inc.","31.58","$1.68B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ha","NASDAQ"
"HCOM","Hawaiian Telcom Holdco, Inc.","23.41","$268.43M","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/hcom","NASDAQ"
"HWKN","Hawkins, Inc.","35.55","$374.96M","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/hwkn","NASDAQ"
"HWBK","Hawthorn Bancshares, Inc.","14.95","$81.38M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hwbk","NASDAQ"
"HAYN","Haynes International, Inc.","30","$373.38M","2007","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/hayn","NASDAQ"
"HDS","HD Supply Holdings, Inc.","26","$5.2B","2013","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/hds","NASDAQ"
"HIIQ","Health Insurance Innovations, Inc.","5.58","$81.48M","2013","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/hiiq","NASDAQ"
"HCSG","Healthcare Services Group, Inc.","33.7","$2.43B","1983","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hcsg","NASDAQ"
"HQY","HealthEquity, Inc.","22.67","$1.31B","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hqy","NASDAQ"
"HSTM","HealthStream, Inc.","20.45","$647.16M","2000","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/hstm","NASDAQ"
"HWAY","Healthways, Inc.","12.31","$443.64M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hway","NASDAQ"
"HTLD","Heartland Express, Inc.","16.39","$1.4B","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/htld","NASDAQ"
"HTLF","Heartland Financial USA, Inc.","27.3","$563.4M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/htlf","NASDAQ"
"HTWR","Heartware International, Inc.","34.5","$597.37M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/htwr","NASDAQ"
"HTBX","Heat Biologics, Inc.","2.57","$21.63M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/htbx","NASDAQ"
"HSII","Heidrick & Struggles International, Inc.","26.17","$481.1M","1999","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/hsii","NASDAQ"
"HELE","Helen of Troy Limited","87.21","$2.47B","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/hele","NASDAQ"
"HMNY","Helios and Matheson Analytics Inc","1.4","$3.26M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hmny","NASDAQ"
"HMTV","Hemisphere Media Group, Inc.","14.59","$665.74M","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/hmtv","NASDAQ"
"HNNA","Hennessy Advisors, Inc.","27","$136.76M","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/hnna","NASDAQ"
"HCAC","Hennessy Capital Acquisition Corp. II","9.7","$242.01M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hcac","NASDAQ"
"HCACU","Hennessy Capital Acquisition Corp. II","9.79","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hcacu","NASDAQ"
"HCACW","Hennessy Capital Acquisition Corp. II","0.16","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/hcacw","NASDAQ"
"HSIC","Henry Schein, Inc.","146.57","$12.15B","1995","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hsic","NASDAQ"
"HERO","Hercules Offshore, Inc.","0.99","$179.82M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hero","NASDAQ"
"HTBK","Heritage Commerce Corp","9.74","$312.43M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/htbk","NASDAQ"
"HFWA","Heritage Financial Corporation","17.41","$521.73M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/hfwa","NASDAQ"
"HEOP","Heritage Oaks Bancorp","7.7","$264.54M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/heop","NASDAQ"
"HCCI","Heritage-Crystal Clean, Inc.","9.54","$212.9M","2008","Basic Industries","Miscellaneous","http://www.nasdaq.com/symbol/hcci","NASDAQ"
"MLHR","Herman Miller, Inc.","25.36","$1.52B","n/a","Consumer Durables","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/mlhr","NASDAQ"
"HRTX","Heron Therapeutics, Inc.  ","23.27","$837.04M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hrtx","NASDAQ"
"HSKA","Heska Corporation","35.77","$235.69M","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/hska","NASDAQ"
"HFFC","HF Financial Corp.","16.38","$115.55M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hffc","NASDAQ"
"HIBB","Hibbett Sports, Inc.","30.19","$687.92M","1996","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/hibb","NASDAQ"
"HPJ","Highpower International Inc","2.21","$33.37M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hpj","NASDAQ"
"HIHO","Highway Holdings Limited","4.3","$16.35M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hiho","NASDAQ"
"HIMX","Himax Technologies, Inc.","7.21","$1.24B","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/himx","NASDAQ"
"HIFS","Hingham Institution for Savings","124.47","$264.97M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hifs","NASDAQ"
"HSGX","Histogenics Corporation","2.31","$30.66M","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hsgx","NASDAQ"
"HMNF","HMN Financial, Inc.","11.14","$49.94M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hmnf","NASDAQ"
"HMSY","HMS Holdings Corp","11.71","$1.01B","1992","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hmsy","NASDAQ"
"HOLI","Hollysys Automation Technologies, Ltd.","17.36","$1.01B","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/holi","NASDAQ"
"HOLX","Hologic, Inc.","35.21","$9.96B","1990","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/holx","NASDAQ"
"HBCP","Home Bancorp, Inc.","25.03","$181.06M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/hbcp","NASDAQ"
"HOMB","Home BancShares, Inc.","35.01","$2.45B","2006","Finance","Major Banks","http://www.nasdaq.com/symbol/homb","NASDAQ"
"HFBL","Home Federal Bancorp, Inc. of Louisiana","22.04","$45.99M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hfbl","NASDAQ"
"HMIN","Homeinns Hotel Group","33.94","$1.64B","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/hmin","NASDAQ"
"HMST","HomeStreet, Inc.","19.35","$427.18M","2012","Finance","Banks","http://www.nasdaq.com/symbol/hmst","NASDAQ"
"HTBI","HomeTrust Bancshares, Inc.","18.83","$351.3M","2012","Finance","Savings Institutions","http://www.nasdaq.com/symbol/htbi","NASDAQ"
"CETC","Hongli Clean Energy Technologies Corp.","0.4202","$10.07M","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/cetc","NASDAQ"
"HOFT","Hooker Furniture Corporation","28","$302.72M","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/hoft","NASDAQ"
"HFBC","HopFed Bancorp, Inc.","11.65","$80.54M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hfbc","NASDAQ"
"HBNC","Horizon Bancorp (IN)","26.01","$310.37M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbnc","NASDAQ"
"HZNP","Horizon Pharma plc","18.85","$3B","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hznp","NASDAQ"
"HRZN","Horizon Technology Finance Corporation","10.07","$117.26M","2010","n/a","n/a","http://www.nasdaq.com/symbol/hrzn","NASDAQ"
"ZINC","Horsehead Holding Corp.","0.3899","$22.59M","2007","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/zinc","NASDAQ"
"HDP","Hortonworks, Inc.","11.89","$549.67M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/hdp","NASDAQ"
"HMHC","Houghton Mifflin Harcourt Company","17.79","$2.39B","2013","Consumer Services","Books","http://www.nasdaq.com/symbol/hmhc","NASDAQ"
"HWCC","Houston Wire & Cable Company","5.21","$87.34M","2006","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/hwcc","NASDAQ"
"HOVNP","Hovnanian Enterprises Inc","3.0399","$15.2M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/hovnp","NASDAQ"
"HBMD","Howard Bancorp, Inc.","12.48","$86.8M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbmd","NASDAQ"
"HSNI","HSN, Inc.","48.29","$2.53B","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/hsni","NASDAQ"
"HTGM","HTG Molecular Diagnostics, Inc.","4.08","$27.91M","2015","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/htgm","NASDAQ"
"HUBG","Hub Group, Inc.","29.51","$1.07B","1996","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/hubg","NASDAQ"
"HSON","Hudson Global, Inc.","2.77","$95.76M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/hson","NASDAQ"
"HDSN","Hudson Technologies, Inc.","2.94","$96.1M","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/hdsn","NASDAQ"
"HBAN","Huntington Bancshares Incorporated","9.15","$7.29B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hban","NASDAQ"
"HBANP","Huntington Bancshares Incorporated","1350","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbanp","NASDAQ"
"HURC","Hurco Companies, Inc.","25.89","$169.82M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hurc","NASDAQ"
"HURN","Huron Consulting Group Inc.","54.16","$1.24B","2004","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/hurn","NASDAQ"
"HTCH","Hutchinson Technology Incorporated","3.5","$118.66M","1985","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/htch","NASDAQ"
"HBP","Huttig Building Products, Inc.","3.255","$80.98M","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/hbp","NASDAQ"
"HDRA","Hydra Industries Acquisition Corp.","9.71","$97.1M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/hdra","NASDAQ"
"HDRAR","Hydra Industries Acquisition Corp.","0.21","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/hdrar","NASDAQ"
"HDRAU","Hydra Industries Acquisition Corp.","10","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/hdrau","NASDAQ"
"HDRAW","Hydra Industries Acquisition Corp.","0.18","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/hdraw","NASDAQ"
"HYGS","Hydrogenics Corporation","7.73","$96.94M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/hygs","NASDAQ"
"IDSY","I.D. Systems, Inc.","4","$53.88M","1999","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/idsy","NASDAQ"
"IAC","IAC/InterActiveCorp","53.44","$4.43B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iac","NASDAQ"
"IKGH","Iao Kun Group Holding Company Limited","1.1","$68.42M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/ikgh","NASDAQ"
"IBKC","IBERIABANK Corporation","45.61","$1.88B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ibkc","NASDAQ"
"IBKCP","IBERIABANK Corporation","24.69","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ibkcp","NASDAQ"
"ICAD","icad inc.","4.06","$63.87M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/icad","NASDAQ"
"IEP","Icahn Enterprises L.P.","54.25","$7B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/iep","NASDAQ"
"ICFI","ICF International, Inc.","33.03","$634.96M","2006","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/icfi","NASDAQ"
"ICLR","ICON plc","69.01","$3.95B","1998","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/iclr","NASDAQ"
"ICON","Iconix Brand Group, Inc.","5.76","$278.75M","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/icon","NASDAQ"
"ICUI","ICU Medical, Inc.","94.18","$1.5B","1992","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/icui","NASDAQ"
"IPWR","Ideal Power Inc.","6","$56.4M","2013","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ipwr","NASDAQ"
"INVE","Identiv, Inc.","1.76","$18.91M","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/inve","NASDAQ"
"IDRA","Idera Pharmaceuticals, Inc.","1.74","$205.93M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/idra","NASDAQ"
"IDXX","IDEXX Laboratories, Inc.","66.36","$6.04B","1991","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/idxx","NASDAQ"
"DSKY","iDreamSky Technology Limited","13.24","$575.65M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dsky","NASDAQ"
"IROQ","IF Bancorp, Inc.","17.8976","$72M","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/iroq","NASDAQ"
"IRG","Ignite Restaurant Group, Inc.","3.5","$91.5M","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/irg","NASDAQ"
"RXDX","Ignyta, Inc.","10.27","$304.19M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rxdx","NASDAQ"
"IIVI","II-VI Incorporated","16.86","$1.03B","1987","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/iivi","NASDAQ"
"KANG","iKang Healthcare Group, Inc.","20.83","$1.36B","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/kang","NASDAQ"
"IKNX","Ikonics Corporation","10.86","$21.92M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/iknx","NASDAQ"
"ILMN","Illumina, Inc.","176.71","$25.87B","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/ilmn","NASDAQ"
"ISNS","Image Sensing Systems, Inc.","3.03","$15.21M","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/isns","NASDAQ"
"IMMR","Immersion Corporation","8.29","$234.48M","1999","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/immr","NASDAQ"
"ICCC","ImmuCell Corporation","7.49","$22.88M","1987","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/iccc","NASDAQ"
"IMDZ","Immune Design Corp.","12.27","$247.16M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imdz","NASDAQ"
"IMNP          ","Immune Pharmaceuticals Inc.","0.525","$15.9M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imnp          ","NASDAQ"
"IMGN","ImmunoGen, Inc.","9.8","$852.45M","1989","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imgn","NASDAQ"
"IMMU","Immunomedics, Inc.","1.98","$187.39M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/immu","NASDAQ"
"IPXL","Impax Laboratories, Inc.","40.06","$2.82B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ipxl","NASDAQ"
"IMMY","Imprimis Pharmaceuticals, Inc.","5.91","$57.22M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/immy","NASDAQ"
"INCR","INC Research Holdings, Inc.","45.24","$2.56B","2014","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/incr","NASDAQ"
"SAAS","inContact, Inc.","8.8","$542.79M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/saas","NASDAQ"
"INCY","Incyte Corporation","79.4","$14.77B","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/incy","NASDAQ"
"INDB","Independent Bank Corp.","44.335","$1.16B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/indb","NASDAQ"
"IBCP","Independent Bank Corporation","14.29","$318.63M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ibcp","NASDAQ"
"IBTX","Independent Bank Group, Inc","29.26","$500.56M","2013","Finance","Major Banks","http://www.nasdaq.com/symbol/ibtx","NASDAQ"
"IDSA","Industrial Services of America, Inc.","1.191","$9.55M","n/a","Basic Industries","Miscellaneous","http://www.nasdaq.com/symbol/idsa","NASDAQ"
"INFN","Infinera Corporation","14.99","$2.1B","2007","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/infn","NASDAQ"
"INFI","Infinity Pharmaceuticals, Inc.","6.57","$323.44M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/infi","NASDAQ"
"IPCC","Infinity Property and Casualty Corporation","77.12","$868.04M","2003","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ipcc","NASDAQ"
"III","Information Services Group, Inc.","3.32","$123.44M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/iii","NASDAQ"
"IFON","InfoSonics Corp","1.437","$20.68M","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/ifon","NASDAQ"
"IMKTA","Ingles Markets, Incorporated","36.35","$736.44M","1987","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/imkta","NASDAQ"
"INWK","InnerWorkings, Inc.","6.71","$361.73M","2006","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/inwk","NASDAQ"
"INNL","Innocoll AG","9","$179.9M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/innl","NASDAQ"
"INOD","Innodata Inc.","2.42","$61.67M","1993","Technology","EDP Services","http://www.nasdaq.com/symbol/inod","NASDAQ"
"IPHS","Innophos Holdings, Inc.","25.88","$497.89M","2006","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/iphs","NASDAQ"
"IOSP","Innospec Inc.","47.27","$1.14B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/iosp","NASDAQ"
"ISSC","Innovative Solutions and Support, Inc.","2.59","$43.8M","2000","Technology","EDP Services","http://www.nasdaq.com/symbol/issc","NASDAQ"
"INVA","Innoviva, Inc.","9.97","$1.17B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/inva","NASDAQ"
"INGN","Inogen, Inc","36.33","$713.97M","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ingn","NASDAQ"
"ITEK","Inotek Pharmaceuticals Corporation","7.82","$206.53M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/itek","NASDAQ"
"INOV","Inovalon Holdings, Inc.","17.09","$2.58B","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/inov","NASDAQ"
"INO","Inovio Pharmaceuticals, Inc.","5.07","$365.97M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ino","NASDAQ"
"NSIT","Insight Enterprises, Inc.","22.62","$839.05M","1995","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/nsit","NASDAQ"
"ISIG","Insignia Systems, Inc.","2.62","$30.49M","1991","Consumer Services","Advertising","http://www.nasdaq.com/symbol/isig","NASDAQ"
"INSM","Insmed, Inc.","13.27","$820.14M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/insm","NASDAQ"
"IIIN","Insteel Industries, Inc.","22.87","$425.39M","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/iiin","NASDAQ"
"PODD","Insulet Corporation","33.35","$1.9B","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/podd","NASDAQ"
"INSY","Insys Therapeutics, Inc.","22.65","$1.63B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/insy","NASDAQ"
"NTEC","Intec Pharma Ltd.","4.23","$44.98M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ntec","NASDAQ"
"IART","Integra LifeSciences Holdings Corporation","62.95","$2.33B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/iart","NASDAQ"
"IDTI","Integrated Device Technology, Inc.","24.5","$3.59B","1984","Technology","Semiconductors","http://www.nasdaq.com/symbol/idti","NASDAQ"
"IESC","Integrated Electrical Services, Inc.","11.03","$236.8M","n/a","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/iesc","NASDAQ"
"INTC","Intel Corporation","29.925","$141.22B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/intc","NASDAQ"
"IQNT","Inteliquent, Inc.","15.6","$526.58M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/iqnt","NASDAQ"
"IPCI","Intellipharmaceutics International Inc.","2.31","$56.45M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ipci","NASDAQ"
"IPAR","Inter Parfums, Inc.","24.21","$750.64M","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ipar","NASDAQ"
"IBKR","Interactive Brokers Group, Inc.","33.16","$13.59B","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ibkr","NASDAQ"
"ININ","Interactive Intelligence Group, Inc.","23.05","$500.2M","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/inin","NASDAQ"
"ICPT","Intercept Pharmaceuticals, Inc.","115.81","$2.82B","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/icpt","NASDAQ"
"ICLD","InterCloud Systems, Inc","0.6401","$16.63M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/icld","NASDAQ"
"ICLDW","InterCloud Systems, Inc","0.3365","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/icldw","NASDAQ"
"IDCC","InterDigital, Inc.","42.94","$1.52B","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/idcc","NASDAQ"
"TILE","Interface, Inc.","15.95","$1.05B","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/tile","NASDAQ"
"IMI","Intermolecular, Inc.","2","$97.84M","2011","Technology","Semiconductors","http://www.nasdaq.com/symbol/imi","NASDAQ"
"INAP","Internap Corporation","3.92","$219.66M","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/inap","NASDAQ"
"IBOC","International Bancshares Corporation","22.22","$1.47B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/iboc","NASDAQ"
"ISCA","International Speedway Corporation","31.77","$1.48B","1996","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/isca","NASDAQ"
